iso3,Country,year,hc,pop,rgdpe,xr
CHE,Switzerland,2000,3.52844762802124,7.184007,368548.875,1.6888425
CHE,Switzerland,2001,3.53894829750061,7.226391,369422.8125,1.687615
CHE,Switzerland,2002,3.54948043823242,7.278752,366579.53125,1.5586075
CHE,Switzerland,2003,3.56004357337952,7.333447,362704.65625,1.34665083333333
CHE,Switzerland,2004,3.57063841819763,7.384194,370410.3125,1.24349583333333
CHE,Switzerland,2005,3.58126473426819,7.431823,385585.375,1.24517666666667
CHE,Switzerland,2006,3.59192276000977,7.478509,417631.8125,1.25384333333333
CHE,Switzerland,2007,3.60261249542236,7.545381,458003.6875,1.20036583333333
CHE,Switzerland,2008,3.6133337020874,7.641728,479936.9375,1.08309
CHE,Switzerland,2009,3.62408709526062,7.737645,481338.8125,1.08814169630268
CHE,Switzerland,2010,3.63487243652344,7.825753,496048.96875,1.04290564573352
CHE,Switzerland,2011,3.64234471321106,7.914372,552769.125,0.888042028223281
CHE,Switzerland,2012,3.64983224868774,7.998926,571063.3125,0.937684480709349
CHE,Switzerland,2013,3.65733528137207,8.091202,568455.5625,0.926903547758285
CHE,Switzerland,2014,3.66485381126404,8.190235,580136,0.916151047283613
CHE,Switzerland,2015,3.67238759994507,8.283934,605930.8125,0.962381328004354
CHE,Switzerland,2016,3.67993688583374,8.374901,620415.5,0.985394394244834
CHE,Switzerland,2017,3.68750190734863,8.453628,640369.875,0.984691666666667
CHE,Switzerland,2018,3.69508242607117,8.516344,651319.25,0.977891666666667
CHE,Switzerland,2019,3.70267844200134,8.577524,681138.4375,0.993709166666667
CHE,Switzerland,2020,3.71028995513916,8.640582,666296.5,0.938965
CHE,Switzerland,2021,3.72179746627808,8.707023,704390.25,0.913845833333333
CHE,Switzerland,2022,3.73337984085083,8.792182,733504.375,0.9548325
CHE,Switzerland,2023,3.74503779411316,8.870561,729190.1875,0.89849
CHN,China,2000,2.31353735923767,1269.581175,5985309.5,8.27850416666667
CHN,China,2001,2.32968354225159,1278.725063,6520996.5,8.27706833333333
CHN,China,2002,2.34594249725342,1286.866839,7119989,8.2769575
CHN,China,2003,2.36231517791748,1294.517326,7792220,8.27703666666667
